Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Satguru's Punjabi Rasoi,"Chinchwad, West Pune", West Pune,Pune,"North Indian,  Fast Food",3.9,176,800
For God's Cake,"Hudson Lane, North Delhi", North Delhi,Delhi,"Desserts,  Bakery and Confectionary",4.5,175,500
Maamouche’s Alchemy Bar,"Starling Mall,Sector 104, Noida", Noida,Noida,"Multi-Cuisine,  North Indian,  Continental,  Lebanese",4.4,175,2000
The Hill Green,"Eastern Business District,Bhandup West, Central Suburbs", Central Suburbs,Mumbai,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican",4.2,175,1600
Cirkus,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Continental,  Finger Food,  Fast Food",4.1,175,1600
Hut-K Spice Kitchen,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  South Indian,  Chinese",4,175,900
Tabla,"Nagole, East Hyderabad", East Hyderabad,Hyderabad,"North Indian,  Chinese,  Seafood,  Andhra,  Biryani",3.9,175,1200
Fire And Ice Pizzeria,"Kanak Building,Park Street, Central Kolkata", Central Kolkata,Kolkata,Italian,4.4,175,2000
Sankalp,"Sankalp Square 2,Paldi, Central Ahmedabad", Central Ahmedabad,Ahmedabad,South Indian,4.1,175,500
5/78 Skybar,"Brilliant Convention Centre,Vijay Nagar, East Indore", East Indore,Indore,"Asian,  Finger Food,  Italian",4.6,175,2000
The Irish House,"Gasper Enclave,Bandra West, Bandra", Bandra,Mumbai,"Continental,  American,  European",4.4,174,2000
Momo Cafe,"Courtyard by Marriott Bengaluru Outer Ring Road,Marathahalli, East Bangalore", East Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Continental,  Asian",4.1,174,2000
Cafe Mezzuna,"South City Mall,Jadavpur, South Kolkata", South Kolkata,Kolkata,"Italian,  Mediterranean,  European",4.5,174,2200
HKV Bar Exchange,"Hauz Khas Village, South Delhi", South Delhi,Delhi,"Chinese,  Finger Food,  North Indian,  Continental",4.2,173,1700
Green Vatika,"Rohini, North Delhi", North Delhi,Delhi,"North Indian,  Chinese,  Fast Food",4,173,1700
Punjab Grill,"Worldmark 1,Aerocity, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai",4.2,173,1800
Jamie's Pizzeria By Jamie Oliver,"Ambience Mall,DLF Phase - 3, Gurgaon", Gurgaon,Gurgaon,"Italian,  Pizza",4.3,173,2000
9th Mile Dhaba,"Royal Orchid Resort And Convention Center,Yelahanka, North Bangalore", North Bangalore,Bangalore,"North Indian,  Mughlai",4,173,1200
Hub At ECR,"Vettuvankeni, South Chennai", South Chennai,Chennai,"Continental,  North Indian,  Italian,  Seafood,  Fusion",4.3,173,2100
Hotel Shadab,"SR Nagar, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Mughlai,  Hyderabadi,  Biryani",4.3,173,900
Fozzie’s Pizzaiolo . Café and Deli,"Maruti Crystal,Bodakdev, West Ahmedabad", West Ahmedabad,Ahmedabad,"Italian,  Fast Food,  Pizza",4.4,173,1000
Kitchen District,"Sector 83, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Continental,  Japanese,  Asian",4.3,172,3000
Prasad Food Divine,"Manpada, Thane", Thane,Mumbai,"North Indian,  Chinese,  Continental",4.4,172,1000
Sherlock's Pub,"MG Road, Central Bangalore", Central Bangalore,Bangalore,"North Indian,  Chinese",4.3,172,1300
Chianti,"Ramanashree Arcade,MG Road, Central Bangalore", Central Bangalore,Bangalore,Italian,4.6,172,2200
China Town,"Gopalapuram, Central Chennai", Central Chennai,Chennai,"Chinese,  Seafood",4.5,172,1200
The 3 Musketeers Pub,"Balewadi High Street,Baner, West Pune", West Pune,Pune,"Finger Food,  North Indian,  Chinese,  Continental,  American",4.2,172,1700
The Mafia,"Viman Nagar, East Pune", East Pune,Pune,"North Indian,  Asian,  Italian,  Continental",3.8,172,1900
Latitude 18.5,"Hinjewadi, West Pune", West Pune,Pune,"North Indian,  Continental",4.1,172,1000
RocoMamas,"World Trade Center,Kharadi, East Pune", East Pune,Pune,"Burger,  Fast Food",4.3,172,1200
Beer Castle,"Sector 8, Panchkula", Panchkula,Chandigarh,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian,  Fast Food",4.5,172,2000
Coffee Culture Reserve,"Piplod, South Surat", South Surat,Surat,"Fast Food,  Coffee",4.3,172,800
Lotus Cafe,"JW Marriott Hotel,Juhu, Andheri West", Andheri West,Mumbai,"North Indian,  Italian,  Continental",4.6,171,3500
Barbeque Nation,"Kothaguda, West Hyderabad", West Hyderabad,Hyderabad,"Barbecue,  North Indian,  Mediterranean",4.4,171,1400
Palamuru Grill,"Kondapur, West Hyderabad", West Hyderabad,Hyderabad,"Andhra,  North Indian",4.1,171,900
Komatose,"Fairfield by Marriott Hyderabad Gachibowli,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Japanese,  Sushi",4.1,171,1500
Bird Valley,"Pimple Saudagar, West Pune", West Pune,Pune,"North Indian,  Chinese,  Continental",4.2,171,1500
Pepper Chino,"The Samilton Hotel,Sarat Bose Road, South Kolkata", South Kolkata,Kolkata,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Thai",4.3,171,1600
FO - Food Overloaded,"Paschim Vihar, West Delhi", West Delhi,Delhi,"Chinese,  North Indian,  Italian,  Fast Food,  Pizza",4.5,170,1200
Coffee By Di Bella,"Bhattad Towers,Borivali West, North Western", North Western,Mumbai,"Fast Food,  Coffee,  Tea,  Desserts,  Waffle",4.1,170,700
Toscano,"Nungambakkam, Central Chennai", Central Chennai,Chennai,"Italian,  Pizza,  North Indian,  Mediterranean,  Desserts,  Coffee,  Drinks",4.6,170,900
Amelie's,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"Continental,  Desserts,  Drinks",4.5,170,1000
The Eatery,"Four Points by Sheraton Hotel and Serviced Apartments,Nagar Road, East Pune", East Pune,Pune,"Italian,  Continental,  North Indian",4,170,1800
M.O.B.E - Ministry of Bar Exchange,"Elante Mall,Industrial Area Phase 1, South Chandigarh", South Chandigarh,Chandigarh,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.2,170,1500
The Chai Story,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Fast Food,  Tea",4.1,169,400
The Colony Bistro,"Lajpat Nagar - 4, South Delhi", South Delhi,Delhi,"Fast Food,  North Indian,  Italian,  Continental",4,169,2100
Red Chilli,"Paschim Vihar, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.1,169,1500
Barbeque 29,"NIT, Faridabad", Faridabad,Noida,"North Indian,  Chinese,  Barbecue",4.3,169,1500
Yazu - Pan Asian Supper Club,"Near Andheri West Station, Andheri West", Andheri West,Mumbai,"Multi-Cuisine,  Chinese,  Thai,  Japanese,  Asian,  Korean",4.5,169,2000
Chemistry,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,Finger Food,4,169,1800
द Vege टेबल,"Deccan Gymkhana, West Pune", West Pune,Pune,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.3,169,1300
The 3 Musketeers,"Lunkad Skymax Mall,Viman Nagar, East Pune", East Pune,Pune,"Finger Food,  North Indian,  Chinese,  Continental,  Mexican",4.3,169,1700
Chili's American Grill and Bar,"Vegas Mall,Dwarka, West Delhi", West Delhi,Delhi,"Mexican,  American,  Italian",4.5,168,2000
Cloves Restaurant and Cafe,"Safal Pegasus,Prahlad Nagar, West Ahmedabad", West Ahmedabad,Ahmedabad,"Multi-Cuisine,  North Indian,  Chinese,  Fast Food",3.8,168,1100
Mitti Ke Rang,"Chandkheda, North Ahmedabad", North Ahmedabad,Ahmedabad,"North Indian,  Chinese,  Continental,  Italian",4.5,168,800
Bagundi,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"South Indian,  Andhra,  Seafood",4.3,167,1000
Rasam,"The Stadel,Salt Lake, East Kolkata", East Kolkata,Kolkata,South Indian,4,167,500
First Innings,"The Stadel,Salt Lake, East Kolkata", East Kolkata,Kolkata,"North Indian,  Oriental ,  Chinese,  Bengali",4,167,1500
Indies,"Camac Street, Central Kolkata", Central Kolkata,Kolkata,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mexican",4.3,167,1000
Fusion Fantasea,"Southern Avenue, South Kolkata", South Kolkata,Kolkata,"Seafood,  Coastal,  Goan,  Kerala",4.4,167,900
Nest,"Howard Johnson Hotel,Rajarhat, 24 Parganas North", 24 Parganas North,Kolkata,"European,  Asian",3.6,167,1500
Farmhouse Sea N Sand,"Vasai West, North Western", North Western,Mumbai,"Seafood,  North Indian,  Chinese",4.1,166,1200
Palmshore,"Ashok Nagar, West Chennai", West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  Seafood",4.2,166,1000
Jonah's Bistro,"Alwarpet, Central Chennai", Central Chennai,Chennai,"Italian,  Continental,  Asian",4,166,1400
Olives,"Regenta Central Deccan,Royapettah, Central Chennai", Central Chennai,Chennai,"Multi-Cuisine,  North Indian,  Continental,  South Indian,  Oriental ",4.1,166,900
Chili’s American Grill and Bar,"Phoenix Market City,Velachery, South West Chennai", South West Chennai,Chennai,"Mexican,  American,  Tex Mex",4.2,166,1500
Jamun,"Lodhi Colony, South Delhi", South Delhi,Delhi,"North Indian,  Seafood,  Andhra,  Kerala",4.4,165,3000
Cafe Tesu,"Essex Farms,Aurobindo Marg, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Japanese,  Deli",4.4,165,2500
Dilli Kanteen Kitchen,"The Grand New Delhi,Vasant Kunj, South Delhi", South Delhi,Delhi,"Continental,  North Indian",4,165,1600
Pop Tate's,"Satra Plaza,Vashi, Navi Mumbai", Navi Mumbai,Mumbai,"Chinese,  Italian,  Continental",4.4,165,2000
1441 Pizzeria,"Kamala Mills Compound,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Pizza,  Italian",4.6,165,1200
Toss,"Ispahani Center,Nungambakkam, Central Chennai", Central Chennai,Chennai,"Chinese,  Continental",4,165,800
Chinese Pavilion,"Venkata Sai Ganapathi's Gold,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Chinese,  Seafood",4.4,165,1400
Bargain Booze,"Sector 26, East Chandigarh", East Chandigarh,Chandigarh,"North Indian,  Chinese,  Italian,  Continental",4.2,165,1700
Effingut,"Dhanraj Mahal,Colaba, South Mumbai", South Mumbai,Mumbai,"Multi-Cuisine,  North Indian,  Continental,  Burmese,  Finger Food",4.5,164,1500
Tandoor,"Centenary Building,MG Road, Central Bangalore", Central Bangalore,Bangalore,"North Indian,  Mughlai,  Seafood",3.9,164,2100
Stories Bar & Kitchen,"Rajarajeshwari Nagar, West Bangalore", West Bangalore,Bangalore,"North Indian,  Italian,  Chinese",4.1,164,1600
The Punjabi Rasoi,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"North Indian,  Chinese,  Mughlai",4.2,164,800
Country Roads,"DLF Galleria,New Town, 24 Parganas North", 24 Parganas North,Kolkata,"Finger Food,  North Indian,  Chinese,  Continental",4.4,164,1600
Singla's,"Tilak Nagar, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Street Food,  Desserts",4,163,800
Bahar Biryani Cafe,"Hasthinapuram, East Hyderabad", East Hyderabad,Hyderabad,"North Indian,  Chinese,  Biryani",3.1,163,800
Alpine Restaurant & Banquet,"Rangoli Complex,Ellis Bridge, Central Ahmedabad", Central Ahmedabad,Ahmedabad,"North Indian,  Chinese",4.3,163,800
Thali and More,"C Scheme, Central Jaipur", Central Jaipur,Jaipur,"North Indian,  Chinese,  Italian,  South Indian",4.4,163,1000
Lost Lemons,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Chinese,  Continental",4.1,162,2500
Barbeque Nation,"EF3 Mall,Sector 20, Faridabad", Faridabad,Noida,"North Indian,  Barbecue,  Mughlai",4.5,162,1700
Pop's Barbacoa,"Sohna Road, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Continental,  Chinese,  Mexican,  Oriental ",4.5,162,1500
Coffee By Di Bella,"Versova, Andheri West", Andheri West,Mumbai,"Fast Food,  Coffee,  Tea,  Desserts,  Waffle",4.4,162,700
Exotica,"Business Square,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Mughlai,  Oriental ",4.4,162,2600
Paasha,"JW Marriott Hotel,Senapati Bapat Road, West Pune", West Pune,Pune,"North Indian,  Mughlai",4.5,162,2500
Satguru's Punjabi Rasoi,"Ravet, West Pune", West Pune,Pune,"North Indian,  Chinese",4.1,162,1800
New Kadimi,"Janakpuri, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  South Indian",4.1,161,800
Level 2,"The Radisson Blu Hotel,Paschim Vihar, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mediterranean,  Asian",4.1,161,3200
Jade Raven Multicuisine Restaurant and Bar,"Ravi Industries,Thane West, Thane", Thane,Mumbai,"North Indian,  Chinese,  Seafood,  Mughlai",4.3,161,1500
Sly Granny - The Community House,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"Modern Indian,  European,  American",4.4,161,2500
Orange Wok,"Nungambakkam, Central Chennai", Central Chennai,Chennai,"Asian,  Chinese,  Thai,  Seafood,  Malaysian",4.3,161,1000
Hola,"Citadines,Sholinganallur, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.1,161,1200
Mugs And Shots,"City Centre 1,Salt Lake, East Kolkata", East Kolkata,Kolkata,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Oriental ,  Fast Food",4,161,1500
Seasonal Tastes,"The Westin Mumbai Garden City Hotel,Goregaon East, North Western", North Western,Mumbai,"North Indian,  Continental,  Asian",4.3,160,4000
Cafe Felix,"1 MG Road Mall,MG Road, Central Bangalore", Central Bangalore,Bangalore,"Continental,  American,  European",4.3,160,1700
Orbis Restaurant,"Brookefields, East Bangalore", East Bangalore,Bangalore,"North Indian,  Oriental ,  Arabian,  Drinks",4,160,800
Parampara - Flavours of india,"ANR Center,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  South Indian",4,160,1000
Puffs N Bites,"Regency Building,Shakespeare Sarani, Central Kolkata", Central Kolkata,Kolkata,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Fast Food",4.1,160,1100
Eighty8+ Cafe,"Elgin Road, South Kolkata", South Kolkata,Kolkata,"Fast Food,  North Indian,  Chinese",4.1,160,800
360°,"C Scheme, Central Jaipur", Central Jaipur,Jaipur,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4,160,2200
Cafe on 3,"Holiday Inn,Mayur Vihar Phase - 1, East Delhi", East Delhi,Delhi,"Continental,  Mediterranean,  North Indian,  Italian",4.2,159,3600
CAD (ctrl+alt+del) Tech Bar,"32nd Avenue,Sector 15, Gurgaon", Gurgaon,Gurgaon,"Modern Indian,  North Indian,  Italian,  Oriental ",4.2,159,2200
DR Zombie,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Italian,  American,  Coffee",4.1,158,1800
Cafe Uncover,"Dwarka, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.2,158,1500
Oye Punjab,"Pankaj Arcade 2,Dwarka, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.2,158,2000
Spectra,"The Leela Kempinski Hotel,DLF Phase - 3, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Japanese,  European,  Asian",4.7,158,4000
Loco Loca,"The Empresa Hotel,Near Andheri West Station, Andheri West", Andheri West,Mumbai,"Mediterranean,  North Indian,  Spanish",4.3,158,1200
Diva Maharashtracha,"Mili CHS,Mahim, South Mumbai", South Mumbai,Mumbai,"Maharashtrian,  Seafood,  Goan,  Konkani,  Malvani",4.4,158,2000
The Hebbal Cafe,"Courtyard By Marriott Hebbal,Hebbal, North Bangalore", North Bangalore,Bangalore,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",4.3,158,2000
Jugalbhandhi,"Nungambakkam, Central Chennai", Central Chennai,Chennai,"North Indian,  Italian,  Chinese",4.2,158,1500
Hotel Kass,"Hotel Kass,Kompally, Secunderabad", Secunderabad,Hyderabad,"South Indian,  Andhra,  Chinese",4.3,158,1200
Kobe Sizzlers,"Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Continental,  Asian,  Sizzlers",3.9,158,1200
Cherries,"Silver Heights Hotel,Navrangpura, West Ahmedabad", West Ahmedabad,Ahmedabad,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  Oriental ",4.5,158,1000
Punjab Grill,"Khan Market, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.1,156,2200
Wood Box Cafe,"Indirapuram, Ghaziabad", Ghaziabad,Ghaziabad,"Fast Food,  Shakes",4.2,156,800
Barbeque Nation,"Omaxe Connaught Place Mall,Beta 2, NCR Greater Noida", NCR Greater Noida,Noida,"North Indian,  Barbecue,  Mughlai",4.4,156,1700
BANGALORE BOX,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"Asian,  Continental",4.3,156,1200
Medley,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Lebanese,  North Indian,  Italian,  Chinese,  Continental,  Mexican,  Desserts",4.3,156,1000
Sonar Tori,"City Centre 1,Salt Lake, East Kolkata", East Kolkata,Kolkata,Bengali,4.3,156,1200
RJ 14,"Ajmer Road, West Jaipur", West Jaipur,Jaipur,"North Indian,  South Indian",4.1,156,1300
Pipeline Cafe,"Satya Niketan, South Delhi", South Delhi,Delhi,"Fast Food,  Italian,  Chinese,  Continental",4.2,155,800
Underdoggs,"Worldmark 2,Aerocity, South Delhi", South Delhi,Delhi,"Continental,  Mexican",4.4,155,2000
Delhi Pavilion,"Sheraton New Delhi Hotel,Saket, South Delhi", South Delhi,Delhi,"North Indian,  Continental,  Asian",4.5,155,3000
Getafix,"Cross Point Mall,DLF Phase - 4, Gurgaon", Gurgaon,Gurgaon,"Health Food,  Italian,  Continental,  American",4.5,155,1800
Upper Deck,"Hawares Centurion Mall,Seawoods, Navi Mumbai", Navi Mumbai,Mumbai,"Italian,  Continental,  North Indian,  Chinese,  Seafood",4.2,155,1000
Haven Sampoorna,"Velachery, South West Chennai", South West Chennai,Chennai,"Continental,  North Indian,  Italian,  European",4.3,155,1200
Mascarpone Cafe,"Uthandi, South Chennai", South Chennai,Chennai,"Italian,  Continental,  Thai,  Seafood",4.2,155,1200
Falcon Cafe Lounge,"Sector 16, Panchkula", Panchkula,Chandigarh,"Italian,  Bakery and Confectionary,  Desserts",4.4,155,1200
Friction The Drinkery,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Italian,  Continental,  Oriental ",4,154,2100
Urbo,"Baner, West Pune", West Pune,Pune,"North Indian,  Asian,  Continental,  South Indian",4.2,154,1000
Mintelaa,"Anant Building,Alipore, South Kolkata", South Kolkata,Kolkata,"Italian,  Pizza,  North Indian,  Chinese,  Continental,  Oriental ",4.4,154,800
T.Y.H - The Robot Restaurant,"Mirza Ismail Road, West Jaipur", West Jaipur,Jaipur,"North Indian,  Italian,  Mexican",3.7,154,1100
Lord Of The Drinks,"Phoenix Marketcity,Whitefield, East Bangalore", East Bangalore,Bangalore,"Multi-Cuisine,  Italian,  Continental,  Asian,  Oriental ",4.1,153,2500
MASALA MANDI,"Sarjapur Road, South Bangalore", South Bangalore,Bangalore,"North Indian,  Mughlai",4,153,1500
The Groot,"Forum Shantiniketan Mall,Whitefield, East Bangalore", East Bangalore,Bangalore,"Continental,  North Indian,  Italian,  Mexican",4,153,1200
Palmshore,"Ramapuram, West Chennai", West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  Seafood",4.2,153,1000
Murphies,"Koregaon Park, East Pune", East Pune,Pune,"Multi-Cuisine,  Continental,  European,  Finger Food",4.4,153,1600
Bird Valley,"Wakad, West Pune", West Pune,Pune,"North Indian,  Chinese,  Continental",4.2,153,1500
Stardust,"Tonk Road, South Jaipur", South Jaipur,Jaipur,"North Indian,  Continental,  Italian,  Chinese",4,153,1900
Tiffin,"Hotel Winway,South Tukoganj, East Indore", East Indore,Indore,"North Indian,  Chinese,  Continental,  Street Food,  Malvani",4.2,153,1000
Shang Palace,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,"Chinese,  Asian",4.6,152,4000
Symposium,"City Centre Mall,Dwarka, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  European,  Oriental ",4.4,152,2000
All Stir Fry - Waterstones Hotel,"Marol, Andheri East", Andheri East,Mumbai,"Chinese,  Asian,  Japanese",4.4,152,2500
Miniya - Turk,"Crescent Royale,Near Andheri West Station, Andheri West", Andheri West,Mumbai,"Italian,  Turkish",4.5,152,2500
The Terrace,"Hotel Kings International,Juhu, Andheri West", Andheri West,Mumbai,"North Indian,  Continental",4.3,152,1500
Kebabery,"Anna Nagar, North Chennai", North Chennai,Chennai,"North Indian,  Mughlai",3.7,152,900
Squisito,"Jewel Tower,Koregaon Park, East Pune", East Pune,Pune,"Italian,  Mexican",4.4,152,1500
Kasturi Restaurant,"Jadavpur, South Kolkata", South Kolkata,Kolkata,"Bengali,  Seafood",3.8,152,700
Barbeque Nation,"Gaur Central Mall,Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Barbecue,  Mughlai",4.4,151,1700
Urban Tadka,"7 Bungalows, Andheri West", Andheri West,Mumbai,"North Indian,  Mughlai",4.3,151,1600
Farmhouse Garden Family Restaurant & Bar,"Vasai West, North Western", North Western,Mumbai,"North Indian,  Italian,  Chinese,  Continental,  Seafood",4.4,151,1000
Jonah's Bistro,"VR Mall,Anna Nagar, North Chennai", North Chennai,Chennai,"Italian,  Continental,  Asian",4.3,151,1400
Delhi Highway,"Citadines,Sholinganallur, South West Chennai", South West Chennai,Chennai,North Indian,4.2,151,1200
Coffee By Di Bella,"Jagdamba Commercial Complex,Malad West, North Western", North Western,Mumbai,"Fast Food,  Coffee,  Tea,  Desserts,  Waffle",4.6,150,1200
Palamuru Grill,"PPR Complex,Kompally, Secunderabad", Secunderabad,Hyderabad,"Andhra,  North Indian",4.1,150,900
Hakuna Matata,"The Deccan Royaale Hotel,J.M.Road, West Pune", West Pune,Pune,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",3.7,150,1500
Nini's Kitchen,"3rd Eye Vision,Panjrapole, West Ahmedabad", West Ahmedabad,Ahmedabad,"North Indian,  Italian,  Continental,  Lebanese,  Shakes",4.3,150,1400
Catalyst Gastrobar,"Sector 16, Faridabad", Faridabad,Noida,"Multi-Cuisine,  North Indian,  Italian,  European,  Oriental ",4.1,149,1000
BumbleBee Brauhaus,"Indiranagar, East Bangalore", East Bangalore,Bangalore,"North Indian,  Chinese,  Continental",3.9,149,1600
Herbs & Spices,"Whitefield, East Bangalore", East Bangalore,Bangalore,"North Indian,  Italian,  Thai",4.2,149,1500
Pimlico,"Koregaon Park, East Pune", East Pune,Pune,"Italian,  Continental",4.4,149,900
Wasabee,"Kalikapur, South Kolkata", South Kolkata,Kolkata,"Asian,  Chinese,  Thai,  Japanese,  Burmese",4.4,149,1500
650 - The Global Kitchen,"Satellite, West Ahmedabad", West Ahmedabad,Ahmedabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Thai,  Mexican,  Mediterranean",4.4,149,1000
Cafe Repertwahr,"Indira Nagar, Central Lucknow", Central Lucknow,Lucknow,"North Indian,  Chinese,  Continental,  Italian,  Seafood",4.3,149,900
Banana Leaf,"Malhar Mega Mall,Vijay Nagar, East Indore", East Indore,Indore,South Indian,4.2,149,800
Writer's Cafe,"Adyar, South Chennai", South Chennai,Chennai,"Italian,  Coffee,  Tea",4.5,148,700
Rasavid,"Semmencherry, South West Chennai", South West Chennai,Chennai,"North Indian,  Biryani",3.6,148,900
The Breezy Bistro,"Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",3.6,148,900
Mocha,"Devashish Business Park,Bodakdev, West Ahmedabad", West Ahmedabad,Ahmedabad,"Continental,  North Indian,  Italian,  Desserts,  Fast Food",4.5,148,800
Punjab Grill,"Janpath, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.1,147,2200
Infinity,"Crowne Plaza,Mayur Vihar Phase - 1, East Delhi", East Delhi,Delhi,"Continental,  Multi-Cuisine,  North Indian,  Italian,  Asian",4.3,147,3600
Greenr Cafe,"32nd Avenue,Sector 15, Gurgaon", Gurgaon,Gurgaon,"Continental,  Health Food",4.7,147,1400
b Café,"Shangri-La Hotel,Vasanth Nagar, Central Bangalore", Central Bangalore,Bangalore,"Chinese,  North Indian,  Italian,  Japanese",4.5,147,3500
Via Milano,"Sarjapur Road, South Bangalore", South Bangalore,Bangalore,"Multi-Cuisine,  Italian,  Continental,  Mediterranean",4.4,147,1100
Hatari,"Rashbehari Avenue, South Kolkata", South Kolkata,Kolkata,"Chinese,  North Indian,  Seafood",4.5,147,1000
Sam's Pizza,"Shivalik Plaza,Ambawadi, West Ahmedabad", West Ahmedabad,Ahmedabad,"Pizza,  Italian",4.3,147,600
Temptt Restro And Cafe,"Chandkheda, North Ahmedabad", North Ahmedabad,Ahmedabad,"North Indian,  Italian,  Mexican,  Fast Food",4.5,147,1300
The Great Kabab Factory,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.2,146,3000
Sly Granny,"Khan Market, Central Delhi", Central Delhi,Delhi,"European,  American",4.5,146,2500
Under The Neem,"NH 8, Gurgaon", Gurgaon,Gurgaon,Continental,4.6,146,1500
JustBe Cafe,"Sadashiva Nagar, North Bangalore", North Bangalore,Bangalore,"Continental,  Health Food",4.3,146,800
Onesta,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Italian,  Pizza",4.5,146,900
Chemistry Family Bar,"Sreshta Platinum,Kothapet, East Hyderabad", East Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Seafood,  Mughlai",3.8,146,1800
Chennai Square,"Broadway Mall,Salt Lake, East Kolkata", East Kolkata,Kolkata,South Indian,4.4,146,500
Jaipur Adda,"Nirwana Hometel,Bani Park, Central Jaipur", Central Jaipur,Jaipur,"North Indian,  Finger Food",4.4,146,1600
Barbeque Nation,"Vegas Mall,Dwarka, West Delhi", West Delhi,Delhi,"North Indian,  Barbecue,  Mughlai",4.2,145,1700
Gallery Cafe,"Hyatt Place,Udyog Vihar, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Continental,  Asian",4.2,145,1500
Pikwik,"Ring Road Mall,Rohini, North Delhi", North Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.3,145,1800
Coffee By Di Bella,"Near Andheri West Station, Andheri West", Andheri West,Mumbai,"Fast Food,  Coffee,  Tea,  Desserts,  Waffle",4.4,145,700
Karim's - Original from Jama Masjid Delhi 6,"Times Square,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,Mughlai,4,145,1000
Calcutta 64,"Salt Lake, East Kolkata", East Kolkata,Kolkata,"Italian,  Continental,  Seafood",4.4,145,800
Curries,"Rudra Path Building,S G Highway, West Ahmedabad", West Ahmedabad,Ahmedabad,"North Indian,  Chinese,  Continental",4.5,145,1500
